"Data Source","World Development Indicators",

"Last Updated Date","2024-12-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.80159696881635","7.89698201461711","7.89807594784293","7.76885901010894","7.5335658421384","7.44631025610667","7.40622358211222","7.43824671268185","7.47956729556384","7.42260487466415","7.31697672078841","7.2781881232112","7.23641586079244","7.04815755556967","6.87431395747729","6.81858165930081","6.76590414880203","6.74530911465862","6.85517256460612","7.26967305367329","7.145734461603","6.94965575475249","6.84176676908341","6.80734814527177","6.89630294255665","7.04261734207709","7.14537700928973","7.11055265635218","7.30802524543429","7.73414642214772","8.0653613171568","7.55550275858697","7.59107013687803",
"Afghanistan","AFG","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.946","7.94","7.961","7.98","7.967","7.941","7.92","7.941","7.953","7.955","7.958","7.939","7.922","7.914","7.914","7.918","7.908","7.92","7.914","7.914","7.916","7.909","7.919","7.915","9.011","10.1","11.184","11.206","11.224","11.71","11.934","14.1","14.386",
"Africa Western and Central","AFW","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.15853490540271","4.2778852195261","4.37687113126357","4.39982533529094","4.39034174582919","4.33994686412037","4.32377796499662","4.34383304542458","4.55408259699465","4.61009562150452","4.54177201265251","4.3614020388891","4.24570670348618","4.15842647759156","4.14438410233639","3.99882907552897","3.96708748498513","3.99041910836446","4.03514218591096","4.02901816820696","4.00180283387169","4.01867722323079","3.71366951829145","3.89193490988537","4.18957514690815","4.1276347287252","4.20368422528981","4.22450907215172","4.24743526436116","4.69756002049233","4.52078687039559","3.72603903242881","3.37912161577338",
"Angola","AGO","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.468","16.621","17.074","17.105","16.711","16.013","15.928","16.148","16.392","16.502","16.539","16.342","16.37","16.267","16.268","16.121","16.08","16.17","16.392","16.598","16.77","16.557","16.487","16.401","16.491","16.58","16.617","16.599","16.497","16.676","15.799","14.693","14.62",
"Albania","ALB","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.304","30.007","25.251","20.835","14.607","13.928","16.872","20.042","20.835","19.023","18.57","17.891","16.985","16.306","15.966","15.626","15.966","13.06","13.674","14.086","13.481","13.376","15.866","18.055","17.193","15.418","13.616","12.304","11.466","12.79","12.473","11.588","11.584",
"Andorra","AND","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.7994345164505","12.0358805083996","12.8122907522482","12.9244233355889","13.4168305961191","12.3887287177627","11.9261892031413","11.8792725241816","12.0493798643758","12.5221701775345","12.3903168122776","12.3874751315231","12.3256467738925","11.3137033188003","11.1309421390061","10.4290215085106","10.0522561072473","9.78933823189578","9.4397125727929","9.55476628663072","10.6737025110994","11.0742932257873","11.0611231924243","11.0789238749432","11.1940915394531","10.9069398073066","11.1703237480027","10.721073087555","10.2743190617654","11.3170416888073","10.8849716221745","9.90991627430264","9.90509752099126",
"United Arab Emirates","ARE","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.645","1.73","1.915","1.841","1.8","1.836","1.908","2.071","2.197","2.25","2.442","2.657","2.902","2.964","3.12","2.959","2.925","2.805","2.919","2.789","2.568","2.266","2.074","1.962","1.792","1.64","2.462","2.236","2.331","4.294","3.105","2.873","2.706",
"Argentina","ARG","Unemployment, total (% of total labor force) (modeled ILO estimate)","SL.UEM.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.44","6.36","10.1","11.76","18.8","17.11","14.82","12.65","14.05","15","17.32","19.59","15.36","13.522","11.506","10.078","8.47","7.837","8.645","7.714","7.18","7.217","7.1","7.268","7.58","8.083","8.347","9.221","9.843","11.461","8.736","6.805","6.178",
