Country,CPI
Angola,804.965533144132
Albania,138.021863913783
United Arab Emirates,120.213669474403
Armenia,155.258355482585
Antigua and Barbuda,133.943906030246
Australia,139.880332986472
Austria,143.946494832533
Azerbaijan,212.959661766667
Burundi,319.517907407394
Belgium,137.819385631235
Benin,120.823695911462
Burkina Faso,131.759116014267
Bangladesh,237.199569600947
Bulgaria,151.670713970091
Bahrain,119.586099949687
"Bahamas, The",130.204684513872
Bosnia and Herzegovina,128.060556205188
Belarus,710.463188170058
Belize,121.734880395108
Bolivia,157.40476617273
Brazil,213.87513528772
Barbados,170.890071679653
Brunei Darussalam,106.859907015157
Bhutan,212.180694578194
Botswana,191.981583240697
Central African Republic,175.005796934209
Canada,134.895535203205
Switzerland,104.400030506506
Chile,170.651472801548
China,132.229151902431
Cote d'Ivoire,130.764985523184
Cameroon,141.818332882446
"Congo, Rep.",138.814612802413
Colombia,184.119324369034
Cabo Verde,126.774290191905
Costa Rica,143.695505220117
Cyprus,117.114122395083
Czechia,158.923132055187
Germany,131.892448207044
Djibouti,132.196520309031
Dominica,119.322667519736
Denmark,125.569145611999
Dominican Republic,169.2906134919
Algeria,198.550857618244
Ecuador,131.021069370666
"Egypt, Arab Rep.",486.342894474661
Spain,127.957434718697
Estonia,165.860163840732
Ethiopia,858.423451765946
Finland,131.040820253141
Fiji,137.796480489671
France,124.027345193475
Gabon,135.70604334892
United Kingdom,142.740891437026
Georgia,176.623016666667
Ghana,609.972588583069
Guinea,389.954566905293
"Gambia, The",256.267499051756
Greece,115.61014338928
Grenada,114.381235918893
Guyana,134.478057859335
"Hong Kong SAR, China",142.610948411804
Honduras,189.116778929842
Croatia,134.878310665712
Haiti,559.741538412178
Hungary,177.341119890072
Indonesia,169.056700046911
India,216.862025027426
Ireland,124.594480724668
"Iran, Islamic Rep.",2140.21942916994
Iraq,139.784084815516
Iceland,163.199594369605
Israel,118.754154401291
Italy,128.617291886527
Jamaica,212.674339878131
Jordan,135.895840722819
Japan,111.364035858675
Kazakhstan,288.035913621386
Kenya,246.295256788022
Kyrgyz Republic,233.709575724236
Cambodia,148.306623905508
Kiribati,121.133463779108
St. Kitts and Nevis,110.823845926704
"Korea, Rep.",129.195964772806
Kuwait,144.072391440901
Lao PDR,239.071544726127
Lebanon,5336.65059176616
Liberia,423.153943398049
Libya,278.263946612131
St. Lucia,123.326412840445
Sri Lanka,308.285687553672
Lesotho,199.779473243937
Lithuania,163.813865619739
Luxembourg,131.233961233961
Latvia,154.567925394545
"Macao SAR, China",147.469479571402
Morocco,128.338641341941
Moldova,264.659839713206
Madagascar,241.510481738622
Maldives,142.64078208493
Mexico,176.116003638578
North Macedonia,147.9575
Mali,126.969916905327
Malta,129.28510661979
Montenegro,146.372185064342
Mongolia,277.162801529648
Mozambique,237.222313580234
Mauritania,164.572369168803
Mauritius,164.403192624939
Malawi,773.939571837271
Malaysia,130.378270288285
Namibia,187.907421438975
Niger,126.251804508777
Nigeria,524.90536465723
Nicaragua,211.983969101511
Netherlands,137.666390675753
Norway,140.684100986336
Nepal,238.106479175293
New Zealand,136.86287449004
Oman,119.395579550122
Pakistan,343.42107928414
Panama,127.496057864854
Peru,159.8164418433
Philippines,154.691744685736
Palau,157.889653757745
Papua New Guinea,183.94721776434
Poland,158.156080387267
Portugal,125.991328648484
Paraguay,176.14642303433
West Bank and Gaza,124.18798049845
Qatar,124.444834716253
Romania,167.656128062128
Rwanda,233.035926477338
Saudi Arabia,132.364369779118
Senegal,133.032841755522
Singapore,129.958680443666
Solomon Islands,152.897744832961
Sierra Leone,558.166662231195
El Salvador,127.883032020654
Serbia,191.574158325751
South Sudan,21563.1855553078
Sao Tome and Principe,338.806590676412
Suriname,1461.62458068448
Slovak Republic,151.172459670713
Slovenia,132.278285436807
Sweden,133.468331831819
Seychelles,146.628294313518
Chad,143.049515597449
Thailand,122.079672279536
Timor-Leste,176.783646400144
Tonga,159.993300024419
Trinidad and Tobago,162.763941221304
Tunisia,205.370262060998
Turkiye,834.593142750374
Tanzania,217.433986576543
Uganda,209.931348222214
Ukraine,429.185402974749
Uruguay,277.191092046658
United States,139.73579356326
St. Vincent and the Grenadines,123.411122144985
Viet Nam,183.073410082137
Kosovo,143.171601365813
South Africa,194.839466353907
Zambia,369.000077035667
