Country,GDP
Aruba,3648573136.15155
Afghanistan,17233051620.1117
Angola,84824654481.7249
Albania,23547179830.4413
Andorra,3785067331.7625
United Arab Emirates,514130432653.081
Argentina,646075277525.125
Armenia,24085749592.3359
Antigua and Barbuda,2033085185.18518
Australia,1728057316695.61
Austria,511685203845.001
Azerbaijan,72356176470.5882
Burundi,2642161668.85211
Belgium,644782756682.756
Benin,19676049075.7011
Burkina Faso,20324617844.5265
Bangladesh,437415331040.994
Bulgaria,102407653020.606
Bahrain,46079867021.2766
"Bahamas, The",14338500000.0
Bosnia and Herzegovina,27514782476.0406
Belarus,71857382745.6066
Belize,3066850000.0
Bermuda,8141700000.0
Bolivia,45135398008.8166
Brazil,2173665655937.27
Barbados,6720733200.0
Brunei Darussalam,15128292980.8638
Botswana,19396084498.0084
Central African Republic,2555492085.24831
Canada,2142470914401.36
Central Europe and the Baltics,2267760561102.28
Switzerland,884940402230.409
Channel Islands,12507927144.1342
Chile,335533331669.219
China,17794783039552.0
Cote d'Ivoire,78875489245.0538
Cameroon,49279410982.826
"Congo, Dem. Rep.",66383287002.9867
"Congo, Rep.",15321055822.5167
Colombia,363493841244.303
Comoros,1352380971.24055
Cabo Verde,2533819406.4916
Costa Rica,86497941439.0174
Curacao,3281419347.37053
Cayman Islands,7139428557.71423
Cyprus,33886930712.3394
Czechia,343207874553.734
Germany,4525703903627.53
Djibouti,4098530513.55777
Dominica,653992592.592593
Denmark,407091920305.404
Dominican Republic,121444279313.931
Algeria,247626161016.414
East Asia & Pacific (excluding high income),21162836277192.4
Early-demographic dividend,14945896099125.4
Europe & Central Asia (excluding high income),2129704371516.14
Ecuador,118844826000.0
"Egypt, Arab Rep.",396002496996.96
Spain,1620090734956.89
Estonia,41291245222.1948
Ethiopia,163697927593.982
Finland,295532341254.907
Fiji,5442046565.04719
France,3051831611384.76
Faroe Islands,3907323961.33964
"Micronesia, Fed. Sts.",460000000.0
Gabon,19388402541.6698
United Kingdom,3380854520809.54
Georgia,30777833585.4441
Ghana,76370396722.154
Guinea,22199409741.2578
"Gambia, The",2396111021.64149
Guinea-Bissau,2048348108.35852
Equatorial Guinea,12337550583.754
Greece,243498333237.802
Grenada,1316733333.33333
Guatemala,104450210572.012
Guyana,17159509565.4676
"Hong Kong SAR, China",380812234827.832
Honduras,34400509852.0436
Croatia,84393795502.4421
Haiti,19850829757.5418
Hungary,212388906458.724
IBRD only,38789302232983.5
IDA & IBRD total,41669008262158.8
IDA total,2880514996348.02
IDA blend,1068437562493.42
Indonesia,1371171152331.16
IDA only,1814046621127.36
India,3567551674623.01
Ireland,551394889339.778
"Iran, Islamic Rep.",404625655204.619
Iraq,250842782139.464
Iceland,31325116556.3807
Israel,513611100815.691
Italy,2300941152991.81
Jamaica,19423355409.2316
Jordan,50967475352.1127
Japan,4204494802431.55
Kazakhstan,262641892078.524
Kenya,108038588970.595
Kyrgyz Republic,13987627908.8381
Cambodia,42335646895.7984
Kiribati,279208903.337644
St. Kitts and Nevis,1055499777.77778
"Korea, Rep.",1712792854202.37
Kuwait,163704878875.85
Latin America & Caribbean (excluding high income),6057469575864.84
Lao PDR,15843155731.2552
Liberia,4240000000.0
Libya,45096462972.4014
St. Lucia,2430148148.14815
Sri Lanka,84356863743.6335
Lesotho,2117962450.79469
Late-demographic dividend,28348483457826.9
Lithuania,79789877416.1681
Luxembourg,85755006123.5976
Latvia,42247850064.5125
"Macao SAR, China",45803067940.4072
Morocco,144417103249.646
Monaco,9995350547.12166
Moldova,16539436547.295
Madagascar,15790113246.7478
Maldives,6590894301.9579
Mexico,1789114434843.46
Marshall Islands,259300000.0
North Macedonia,15763621848.115
Mali,20661794596.0873
Malta,22328640241.5553
Myanmar,66757619000.0
Middle East & North Africa (excluding high income),1671174615296.29
Montenegro,7530593375.22034
Mongolia,20325121393.9074
Mozambique,20954220983.5473
Mauritania,10651709411.4594
Mauritius,14644524819.0054
Malawi,12712150082.0792
Malaysia,399705169318.477
Namibia,12351025066.9131
Niger,16819170420.5653
Nigeria,363846332834.618
Nicaragua,17829218219.3591
Netherlands,1154361305398.06
Norway,485310823603.662
Nepal,40908073366.8455
Nauru,154170289.321861
New Zealand,252175506110.168
Oman,108810923276.983
Pakistan,337912301397.727
Panama,83318176900.0
Peru,267603248655.253
Philippines,437146372729.942
Palau,281849062.5
Papua New Guinea,30729242919.4411
Poland,809200697797.088
Pre-demographic dividend,1566942319113.72
Puerto Rico,117902300000.0
Portugal,289114289663.542
Paraguay,42956263543.9482
West Bank and Gaza,17420800000.0
Qatar,213002809330.267
Romania,350775856415.189
Russian Federation,2021421476035.42
Rwanda,14097768472.1883
Saudi Arabia,1067582933333.33
Sudan,109265503110.904
Senegal,30848333083.7055
Singapore,501427500080.059
Solomon Islands,1633319401.19414
Sierra Leone,6411869546.28929
El Salvador,34015620000.0
Somalia,10968517090.0004
Serbia,81342660752.3732
Sub-Saharan Africa (excluding high income),2042436971778.64
Sao Tome and Principe,678976264.835436
Suriname,3455146280.83975
Slovak Republic,132908336234.295
Slovenia,69148468417.3208
Sweden,584960475767.32
Eswatini,4442875788.08505
Sint Maarten (Dutch part),1627776949.27374
Seychelles,2141450171.13932
Turks and Caicos Islands,1402054390.94734
Chad,13149325362.3347
East Asia & Pacific (IDA & IBRD countries),21136712800814.7
Europe & Central Asia (IDA & IBRD countries),5497903850286.88
Togo,9171261837.57103
Thailand,514968699239.005
Tajikistan,12060602008.8478
Turkmenistan,60628857142.8571
Latin America & the Caribbean (IDA & IBRD countries),6779682191342.68
Timor-Leste,2079916900.0
Middle East & North Africa (IDA & IBRD countries),1653767249808.37
South Asia (IDA & IBRD),4494987381110.1
Sub-Saharan Africa (IDA & IBRD countries),2044578421949.78
Trinidad and Tobago,27372285697.9477
Tunisia,48529595416.6533
Turkiye,1118252964260.77
Tuvalu,62280311.5852172
Tanzania,79062403820.892
Uganda,48768955863.3175
Ukraine,178757021965.008
Uruguay,77240830877.4597
United States,27720709000000.0
Uzbekistan,101591769702.343
St. Vincent and the Grenadines,1065962962.96296
Viet Nam,429716969043.572
Vanuatu,1126313359.21923
Samoa,938189443.830393
Kosovo,10468219225.4869
South Africa,380699271814.508
Zambia,27577956471.244
Zimbabwe,35231367885.8554
