Country,GDP,CPI,FDI,Unemployment
Afghanistan,17233051620.1117,,,14.386
Albania,23547179830.4413,138.021863913783,1620982550.5431,11.584
Algeria,247626161016.414,198.550857618244,1215776626.75897,11.814
Andorra,3785067331.7625,,,
Angola,84824654481.7249,804.965533144132,-2119632185.51477,14.62
Antigua and Barbuda,2033085185.18518,133.943906030246,300597732.222222,
Argentina,646075277525.125,,23866141439.654,6.178
Armenia,24085749592.3359,155.258355482585,580365078.650983,8.586
Aruba,3648573136.15155,,91445330.0,
Australia,1728057316695.61,139.880332986472,32501414006.7699,3.667
Austria,511685203845.001,143.946494832533,2924935668.81844,5.243
Azerbaijan,72356176470.5882,212.959661766667,252836000.0,5.636
"Bahamas, The",14338500000.0,130.204684513872,322456455.071094,9.198
Bahrain,46079867021.2766,119.586099949687,6839627659.57447,1.16
Bangladesh,437415331040.994,237.199569600947,1385155351.84895,5.06
Barbados,6720733200.0,170.890071679653,8000000.0,7.954
Belarus,71857382745.6066,710.463188170058,1992107728.25,3.574
Belgium,644782756682.756,137.819385631235,-2776119886.70005,5.508
Belize,3066850000.0,121.734880395108,16037530.5268891,8.262
Benin,19676049075.7011,120.823695911462,48955920.0,1.452
Bermuda,8141700000.0,,21480000.0,
Bhutan,,212.180694578194,11916048.289237,5.653
Bolivia,45135398008.8166,157.40476617273,293692090.235586,3.081
Bosnia and Herzegovina,27514782476.0406,128.060556205188,1035178227.48115,10.42
Botswana,19396084498.0084,191.981583240697,665417580.126418,23.381
Brazil,2173665655937.27,213.87513528772,64227330465.83,7.95
British Virgin Islands,,,44158493710.0,
Brunei Darussalam,15128292980.8638,106.859907015157,-50992640.1915361,5.27
Bulgaria,102407653020.606,151.670713970091,4058310000.0,4.295
Burkina Faso,20324617844.5265,131.759116014267,5174270.0,5.293
Burundi,2642161668.85211,319.517907407394,34127983.5378171,0.93
Cabo Verde,2533819406.4916,126.774290191905,158735894.913156,11.994
Cambodia,42335646895.7984,148.306623905508,3958792378.8864,0.239
Cameroon,49279410982.826,141.818332882446,-109133290.0,3.646
Canada,2142470914401.36,134.895535203205,47745201181.1264,5.366
Cayman Islands,7139428557.71423,,20421626280.0,
Central African Republic,2555492085.24831,175.005796934209,,6.286
Central Europe and the Baltics,2267760561102.28,,-1592979096.94688,4.08200231110849
Chad,13149325362.3347,143.049515597449,,1.082
Channel Islands,12507927144.1342,,,5.982
Chile,335533331669.219,170.651472801548,21737835925.3814,9.037
China,17794783039552.0,132.229151902431,42727679407.24,4.67
Colombia,363493841244.303,184.119324369034,17144522051.9865,9.565
Comoros,1352380971.24055,,5352754.89432874,5.795
"Congo, Dem. Rep.",66383287002.9867,,2375258886.51998,4.544
"Congo, Rep.",15321055822.5167,138.814612802413,26364470.0,20.054
Costa Rica,86497941439.0174,143.695505220117,4687479757.85749,8.304
Cote d'Ivoire,78875489245.0538,130.764985523184,214905250.0,2.403
Croatia,84393795502.4421,134.878310665712,3341914870.68901,6.063
Cuba,,,,1.163
Curacao,3281419347.37053,,136602563.648045,
Cyprus,33886930712.3394,117.114122395083,-8942336964.35326,5.964
Czechia,343207874553.734,158.923132055187,8225354599.29861,2.593
Denmark,407091920305.404,125.569145611999,4576876842.84454,5.142
Djibouti,4098530513.55777,132.196520309031,137009451.0,26.258
Dominica,653992592.592593,119.322667519736,20691116.4076457,
Dominican Republic,121444279313.931,169.2906134919,4750500000.0,5.557
Early-demographic dividend,14945896099125.4,,213324603997.072,5.24157534612774
East Asia & Pacific (IDA & IBRD countries),21136712800814.7,,115009255803.175,4.01490073541815
East Asia & Pacific (excluding high income),21162836277192.4,,115009255803.175,4.00080604549072
Ecuador,118844826000.0,131.021069370666,383006348.523188,3.367
"Egypt, Arab Rep.",396002496996.96,486.342894474661,9840600000.0,7.306
El Salvador,34015620000.0,127.883032020654,638117023.61,2.758
Equatorial Guinea,12337550583.754,,,8.666
Eritrea,,,,5.866
Estonia,41291245222.1948,165.860163840732,5350805151.56147,6.345
Eswatini,4442875788.08505,,28132551.483073,37.636
Ethiopia,163697927593.982,858.423451765946,3262966283.51939,3.497
Europe & Central Asia (IDA & IBRD countries),5497903850286.88,,78764154178.3603,5.21280220175162
Europe & Central Asia (excluding high income),2129704371516.14,,38384238788.1395,7.18468025542309
Faroe Islands,3907323961.33964,,,
Fiji,5442046565.04719,137.796480489671,28976170.0,4.327
Finland,295532341254.907,131.040820253141,-260116463.672399,7.155
France,3051831611384.76,124.027345193475,8803377981.64788,7.323
French Polynesia,,,14972180.0,11.724
Gabon,19388402541.6698,135.70604334892,,20.361
"Gambia, The",2396111021.64149,256.267499051756,208372222.211356,6.479
Georgia,30777833585.4441,176.623016666667,2085707951.1,11.622
Germany,4525703903627.53,131.892448207044,19515498091.7767,3.045
Ghana,76370396722.154,609.972588583069,1319315614.67989,3.079
Greece,243498333237.802,115.61014338928,4722066764.49034,10.997
Grenada,1316733333.33333,114.381235918893,163816991.111111,
Guam,,,,5.418
Guatemala,104450210572.012,,1583156540.0,2.705
Guinea,22199409741.2578,389.954566905293,1307980000.0,5.297
Guinea-Bissau,2048348108.35852,,257470.0,3.183
Guyana,17159509565.4676,134.478057859335,6900000.0,12.43
Haiti,19850829757.5418,559.741538412178,23647920.0,14.623
Honduras,34400509852.0436,189.116778929842,1086111945.15352,6.062
"Hong Kong SAR, China",380812234827.832,142.610948411804,111109239723.332,3.931
Hungary,212388906458.724,177.341119890072,-72234232901.2071,4.126
IBRD only,38789302232983.5,,397340036705.718,5.1378114155068
IDA & IBRD total,41669008262158.8,,435707334279.467,5.09365392498292
IDA blend,1068437562493.42,,7897028144.96398,4.7916761988561
IDA only,1814046621127.36,,30470269428.7852,5.02441964157133
IDA total,2880514996348.02,,38367297573.7492,4.95074935705529
Iceland,31325116556.3807,163.199594369605,688474931.162357,3.562
India,3567551674623.01,216.862025027426,28078983530.3979,4.172
Indonesia,1371171152331.16,169.056700046911,22085914486.0992,3.417
"Iran, Islamic Rep.",404625655204.619,2140.21942916994,86665140.0,9.103
Iraq,250842782139.464,139.784084815516,-5363500000.0,15.529
Ireland,551394889339.778,124.594480724668,-139972323560.253,4.34
Israel,513611100815.691,118.754154401291,15110600000.0,3.389
Italy,2300941152991.81,128.617291886527,42019753074.4717,7.618
Jamaica,19423355409.2316,212.674339878131,376524958.397676,4.417
Japan,4204494802431.55,111.364035858675,19983856529.9978,2.575
Jordan,50967475352.1127,135.895840722819,842816901.408451,17.944
Kazakhstan,262641892078.524,288.035913621386,5437312390.6917,4.847
